Date,Price,Open,High,Low,Vol.,Change %,GoogleValues
2019-11-03,9198.3,9300.5,9359.1,9095.0,536.56,-1.1,35
2019-10-27,9529.6,9230.6,9773.2,9081.0,1.16,3.24,41
2019-10-20,8223.4,7957.4,8288.5,7889.6,513.91,3.34,43
2019-10-13,8281.5,8304.3,8450.2,8190.6,419.87,-0.28,34
2019-10-06,7881.9,8127.3,8145.5,7834.9,448.8,-3.02,38
2019-09-29,8049.1,8208.0,8226.8,7922.1,418.48,-1.94,37
2019-09-22,10031.6,9993.0,10075.0,9870.9,337.06,0.39,47
2019-09-15,10311.5,10337.3,10360.4,10272.0,255.79,-0.25,37
2019-09-08,10402.8,10461.6,10578.0,10266.3,339.73,-0.56,38
2019-09-01,9729.3,9594.7,9799.5,9533.6,322.66,1.41,43
2019-08-25,10136.3,10132.1,10307.0,9935.2,422.53,0.05,44
2019-08-18,10312.7,10219.3,10494.9,10086.7,441.11,0.93,47
2019-08-11,11517.2,11314.6,11728.4,11146.1,435.83,1.79,51
2019-08-04,10934.6,10816.1,11017.7,10568.8,585.71,1.1,57
2019-07-28,9727.8,9491.1,9798.5,9401.1,518.59,2.48,49
2019-07-21,10714.4,10827.0,10883.8,10442.5,562.17,-1.04,52
2019-07-14,10200.1,11364.3,11448.7,10128.9,840.76,-10.25,64
2019-07-07,11415.9,11267.9,11524.6,11108.1,601.93,1.31,65
2019-06-30,10818.6,11906.0,12179.3,10765.4,880.77,-9.14,67
2019-06-23,10897.1,10721.5,11361.3,10557.8,683.79,1.64,100
2019-06-16,8962.5,8812.2,9332.0,8771.1,849.77,1.7,67
2019-06-09,7635.0,7901.6,7937.5,7516.9,554.48,-3.37,44
2019-06-02,8728.6,8545.8,8807.7,8534.8,614.54,2.14,48
2019-05-26,8630.2,8029.6,8718.6,7866.5,872.12,7.51,58
2019-05-19,8157.2,7261.9,8253.4,7252.3,1.08,12.32,52
2019-05-12,6984.8,7190.0,7518.9,6802.6,1.35,-2.86,72
2019-05-05,5774.9,5830.8,5838.2,5708.2,709.02,-0.96,45
2019-04-28,5302.3,5265.7,5332.5,5234.4,681.41,0.69,35
2019-04-21,5243.5,5290.2,5308.2,5189.8,811.41,-0.88,36
2019-04-14,5134.8,5052.0,5153.5,5010.7,566.38,1.64,34
2019-04-07,5173.6,5046.1,5219.5,5033.7,841.27,2.53,41
2019-03-31,4102.3,4111.8,4121.9,4082.2,2.43,-0.23,45
2019-03-24,3994.7,4002.6,4005.7,3967.0,2.04,-0.2,27
2019-03-17,3981.5,4006.4,4009.8,3956.3,1.87,-0.62,28
2019-03-10,3915.2,3944.4,3944.5,3889.2,1.89,-0.74,27
2019-03-03,3809.5,3823.2,3836.6,3789.7,1.51,-0.36,28
2019-02-24,3755.2,4120.5,4194.2,3738.7,977.78,-8.86,30
2019-02-17,3664.2,3616.8,3689.9,3607.9,580.51,1.31,33
